Survey ID,P2Q1,P2Q2,P2Q3,P2Q4,P2Q5,P2Q6,P2Q7,P2Q8,P2Q9,P1Q10,P1Q11,
18,4,4,4,4,4,4,4,4,3,I liked that arrows could be moved on each end,"Not being able to edit text from boxes after they were created (and not being able to
highlight the text to copy and paste them with changes either)","Not being able to edit text from boxes after they were created (and not being able to
highlight the text to copy and paste them with changes either)"
19,2,3,3,4,3,3,5,4,4,"Components were simple and easy to locate. Moving components and connecting them
was intuitive","I couldn’t find a way to edit or delete components. I also couldn’t find a way to format
text, including the indented IF WHEN THEN format in EPS analysis","I couldn’t find a way to edit or delete components. I also couldn’t find a way to format
text, including the indented IF WHEN THEN format in EPS analysis"
20,5,5,5,5,4,4,5,5,5,I like that it does a lot of the tedious work for me like drawing the shapes and showing the if-when-then model for each error-prone scenario ,Not being able to modify elements after they’ve been created ,Not being able to modify elements after they’ve been created 
21,3,4,4,4,4,3,3,3,2,"Easy to use, simple UI ","It was kind of annoying that you have to click exactly on the item to move it, even if you are only just a few pixels off ; Cancelling the prompt still adds the blank graphic to the screen ; You cannot delete a singular item without clearing the entire page ","It was kind of annoying that you have to click exactly on the item to move it, even if you are only just a few pixels off ; Cancelling the prompt still adds the blank graphic to the screen ; You cannot delete a singular item without clearing the entire page "
22,5,2,3,3,2,2,5,5,3,Makes it much easier to draw diagrams. Would always use this over pen and paper.,"It can be difficult to drag things where you want them to go. It also needs a delete button, it is very frustrating that you can’t delete individual parts.","It can be difficult to drag things where you want them to go. It also needs a delete button, it is very frustrating that you can’t delete individual parts."
23,5,4,4,4,4,4,5,5,4,The system was easy to use after watching the live demo. The features are clear. ,The system was a little inconvenient to use because any mistakes had to be moved off screen rather than being able to just undo actions. ,The system was a little inconvenient to use because any mistakes had to be moved off screen rather than being able to just undo actions. 
24,3,3,4,N/A,4,4,4,3,3,It likely would save time when creating EPSs for many defects/scenarios;  It has potential if the kinks are worked out,No delete function;  Can’t actually cancel a module after clicking on it;  Connectors with multiple arrows can separate; Doesn’t support some HEMs; Fixed size canvas,No delete function;  Can’t actually cancel a module after clicking on it;  Connectors with multiple arrows can separate; Doesn’t support some HEMs; Fixed size canvas
25,5,5,5,5,5,5,5,5,5,"The EPS tool made drawing Causal Mechanism Graphs quick and clean.I really liked
that I could drag-and-drop nodes, label them clearly, and connect arrows without
worrying about messy layouts.It saved a lot of time compared to manual drawing, and I
could easily edit or move items when I changed my mind.The interface felt simple and
consistent, so I didn’t need any help to figure it out.Overall, it helped me focus on
thinking about the causes of errors instead of fighting with formatting","Sometimes the layout jumped around when I added new nodes, and I had to reposition
them manually.There’s no grid-snap or alignment feature, so keeping things neat took
extra effort.It also doesn’t let you duplicate a node or edge easily, which would save
time when several CMGs have similar structures.Finally, the export image quality could
be a bit higher for presentations.These are minor issues, but fixing them would make
the tool even smoother to use.","Sometimes the layout jumped around when I added new nodes, and I had to reposition
them manually.There’s no grid-snap or alignment feature, so keeping things neat took
extra effort.It also doesn’t let you duplicate a node or edge easily, which would save
time when several CMGs have similar structures.Finally, the export image quality could
be a bit higher for presentations.These are minor issues, but fixing them would make
the tool even smoother to use."
26,4,2,3,2,4,4,4,5,4,"It was certainly much faster to complete the diagram with it that without it, and it did provide some structural help in setting it up.","If you messed up you have to delete everything and restart, you can’t delete individual components, there is no help or examples on how the various diagrams should look. Also the clicking and dragging is very finicky.","If you messed up you have to delete everything and restart, you can’t delete individual components, there is no help or examples on how the various diagrams should look. Also the clicking and dragging is very finicky."
27,5,4,4,4,4,4,4,4,3,Ease of creating Causal Mechanism Graphs; Popups direct user well; Easy to use tool,"User interface is lacking;  Prompts are a bit hard to understand sometimes; If you click an HEM, then click cancel, it still draws to the canvas","User interface is lacking;  Prompts are a bit hard to understand sometimes; If you click an HEM, then click cancel, it still draws to the canvas"
28,1,3,3,3,4,4,4,4,2,Works quickly ,"Difficult to understand, lacks basic useful functionality, tutorial unhelpful, user interface not appealing.It took me at least ten minutes when I could have drawn this by hand in a few minutes. Very frustrating.","Difficult to understand, lacks basic useful functionality, tutorial unhelpful, user interface not appealing.It took me at least ten minutes when I could have drawn this by hand in a few minutes. Very frustrating."
29,5,4,4,4,4,4,4,4,4,"When available, the templates were fairly easy to use. ; The dragging for the arrows were intuitive. ","Didn’t include all EPS, but did not include blank box to manually fill in Tasks otherwise ; Can’t delete anything without wiping board ; Boxes don’t auto resize","Didn’t include all EPS, but did not include blank box to manually fill in Tasks otherwise ; Can’t delete anything without wiping board ; Boxes don’t auto resize"
30,5,5,4,4,3,5,5,5,5,Convenient to use rather than drawing ; Pre populates information; Organizes accordingly to its certain error mode ,Lack of instruction ; Unnecessary need of both the human error mode specified graph and human error mode graph. If that makes sense. ; Not aesthetically pleasing! ,Lack of instruction ; Unnecessary need of both the human error mode specified graph and human error mode graph. If that makes sense. ; Not aesthetically pleasing! 
31,2,4,4,4,4,3,4,5,3,It was very easy to connect different parts of the diagram. ,Defect/location form you coudlnt write very much in them without the formatting overlapping with each other; Strong-but-now-Wrong rule has two rule A’s and no Rule X; Not being able to delete stuff was annoying I wish that was a feature (even though you can  just drag what you arent using off screen),Defect/location form you coudlnt write very much in them without the formatting overlapping with each other; Strong-but-now-Wrong rule has two rule A’s and no Rule X; Not being able to delete stuff was annoying I wish that was a feature (even though you can  just drag what you arent using off screen)
32,5,5,4,4,4,4,4,4,4,It makes something difficult and time-consuming fairly easy,"All the error-prone scenarios weren’t fleshed out, but that just seems like a W.I.P","All the error-prone scenarios weren’t fleshed out, but that just seems like a W.I.P"
33,4,4,3,N/A,N/A,N/A,N/A,N/A,N/A,"The large elements such as the post completion errors were extremely helpful. And it was a  fun tool to use overall, it felt like I was drawing almost.","The smaller elements were confusing, and I’m still unsure what they’re referring to for  specific elements. Also the UI seems pretty rough/rudimentary","The smaller elements were confusing, and I’m still unsure what they’re referring to for  specific elements. Also the UI seems pretty rough/rudimentary"
34,3,4,3,4,4,3,4,3,4,very intuitive with drag and drop functionality,Cannot correct or delete mistakes ,Cannot correct or delete mistakes 
35,5,4,4,4,3,4,5,5,4,Obviously I would say the ability to create/construct a CMG graph so quickly and easily is a major plus. Not having to draw or construct any of the shapes myself is greatly time saving.,"I think it would be very helpful to include some sort of delete function, maybe just including backspace key functionality and cntrl-z. I would also say adding more control over the shapes, like being able to shrink them would be great.","I think it would be very helpful to include some sort of delete function, maybe just including backspace key functionality and cntrl-z. I would also say adding more control over the shapes, like being able to shrink them would be great."
36,5,5,4,3,4,4,5,5,5,Easy to use; Straightforward; Very helpful in creating the charts; Has several helpful/useful features; The tutorial was extremely helpful,"No way to edit text in the components; No way to resize the components; To delete components, you have to drag it off the canvas. It would be nice to have a delete button","No way to edit text in the components; No way to resize the components; To delete components, you have to drag it off the canvas. It would be nice to have a delete button"
37,5,4,4,4,4,4,4,4,2,Auto-filling the general forms is very convenient and well executed ,There is no delete a single item button (that I saw) ; You can’t edit the text of the objects after they are created ,There is no delete a single item button (that I saw) ; You can’t edit the text of the objects after they are created 
38,5,5,4,4,3,4,5,4,5,The prompts that pop up to autofill the Current Scenario symbol.; The ability to export to PNG.,Unable to delete single elements or undo changes.; Unable to “send back” or “bring forward” elements of the diagram.; Text boxes don’t grow to auto-fit text.,Unable to delete single elements or undo changes.; Unable to “send back” or “bring forward” elements of the diagram.; Text boxes don’t grow to auto-fit text.
39,4,4,4,4,3,3,3,4,2,"Definitely made it faster to make these diagrams, and a bit easier. UI overall was fairly easy to work with and straight-forward. Downloading the images worked fine.","Lack of an undo button, or a way to edit text after editing it, makes it really hard to walk back a small issue like a typo. Boxes can't be sized 'down' from what I found, making some diagrams unnecessasrily clunky.","Lack of an undo button, or a way to edit text after editing it, makes it really hard to walk back a small issue like a typo. Boxes can't be sized 'down' from what I found, making some diagrams unnecessasrily clunky."
40,4,4,4,5,5,5,5,5,4,The use of templates for human error modes is helpful.,"The system doesn’t include all human error modes. There isn’t a way to undo/redo or to  delete individual objects. The space is too small for complex graphs, with no apparent way  to increase the size. Objects don’t resize for text to fit inside them. Connectors don’t snap to  objects. It could benefit from grouping the human error modes into categories.","The system doesn’t include all human error modes. There isn’t a way to undo/redo or to  delete individual objects. The space is too small for complex graphs, with no apparent way  to increase the size. Objects don’t resize for text to fit inside them. Connectors don’t snap to  objects. It could benefit from grouping the human error modes into categories."
41,5,4,4,4,4,4,5,3,4,The scenario definitions are included. The tutorial includes an example screenshot. Filling out the popups to define the scenario helps to better understand the root cause of the error. It saves a lot of time once you get the hang of it.  ,"Creating an accurate graph without experience is difficult, and an example graph is necessary to get it right. I found myself using a separate text document to write out the text I would enter in the popups. This made creating the graphs very quick. The graph resolution and font size is a little too low for enlarging to fill a slide for presentation, it ends up blurry. ","Creating an accurate graph without experience is difficult, and an example graph is necessary to get it right. I found myself using a separate text document to write out the text I would enter in the popups. This made creating the graphs very quick. The graph resolution and font size is a little too low for enlarging to fill a slide for presentation, it ends up blurry. "
42,4,4,4,4,4,4,5,4,4,"It's very nice to not have to create the graph from scratch, and being able to move elements around is convenient.","The bottom rows and how to use them is not explained anywhere, so you have to learn by trial and error, which is not ideal. It would also be nice to edit the wording once a HEM is placed or delete single elements without having to clear all.","The bottom rows and how to use them is not explained anywhere, so you have to learn by trial and error, which is not ideal. It would also be nice to edit the wording once a HEM is placed or delete single elements without having to clear all."
43,4,3,4,4,4,4,4,4,3,Constructing the graphs themselves is made easy and when you have,I really dislike that I cant remove individual components because if I make a mistake I  have to clear everything and begin from scratch which isn’t very difficult but it is quite  tedious,I really dislike that I cant remove individual components because if I make a mistake I  have to clear everything and begin from scratch which isn’t very difficult but it is quite  tedious
44,4,3,3,4,4,4,4,4,3,"The Arrows were nice to use, and overall style was nice.","There was no delete a single box function that I could find, which led to some frustrating
moments.","There was no delete a single box function that I could find, which led to some frustrating
moments."
45,5,4,4,4,4,4,4,4,4,It is much easier to use the system than to draw everything by hand. ,"The UI is hard to use. There is no way to edit existing elements. I don’t know what a button will do until I click it, so I click it first to see what it does than click it again to get the result I want. The design is not responsive to screen size (it requires scrolling on my laptop). ","The UI is hard to use. There is no way to edit existing elements. I don’t know what a button will do until I click it, so I click it first to see what it does than click it again to get the result I want. The design is not responsive to screen size (it requires scrolling on my laptop). "
46,2,5,5,5,5,5,5,5,4,"Given that you understand the background material (Human Error Root Cause Analysis), the tool is understandable and the features make sense. ;  Saves time compared to writing everything by hand if you are okay with it not being perfect.; I like the green theme colours. Gives it a nice personal feel and reminds me of websites from the 90s to early 2000s.","It was not clear how I might be able to delete one object from the page instead of clearing all. I ended up taking more time even than drawing by hand because of the small manual edits I had to do to make sure it was accurate and readable.; Cannot resize boxes, which means my text went past the borders of the box and had to be fixed manually. I was not able to have the ends of lines/arrows snap to the objects.; Can’t ctrl z to undo.
A allows me to move the arrows off the trigger circle; “Location of task” box uses the wrong box type (dotted line instead of straight line);  Cannot save as a json or svg which means I cannot save my work and edit later","It was not clear how I might be able to delete one object from the page instead of clearing all. I ended up taking more time even than drawing by hand because of the small manual edits I had to do to make sure it was accurate and readable.; Cannot resize boxes, which means my text went past the borders of the box and had to be fixed manually. I was not able to have the ends of lines/arrows snap to the objects.; Can’t ctrl z to undo.
A allows me to move the arrows off the trigger circle; “Location of task” box uses the wrong box type (dotted line instead of straight line);  Cannot save as a json or svg which means I cannot save my work and edit later"
,,,,,,,,,,,,
Mean:,4.043478261,3.804347826,3.869565217,3.977272727,3.888888889,3.977777778,4.377777778,4.2,3.6,,,
Stdev:,1.094562759,0.859445951,0.54195923,0.549360574,0.611340636,0.656744342,0.64978629,0.814638793,0.914529188,,,
Min,1,1,3,2,2,2,3,1,2,,,
Max,5,5,5,5,5,5,5,5,5,,,
"D-mean, sdev",,,,,,,,,,,,
Overall:,3.824175824,1.028412008,,,,,,,,,,
Functionality:,3.883977901,0.652190906,,,,,,,,,,
HE Awareness:,4.177777778,0.680016156,,,,,,,,,,
HE Regulation:,4.2,0.814638793,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
